Date,Cabo NSA value,Cabo SA value
1990-12-31,90.765384348,90.285080594
1990-11-30,90.39718658,89.754343548
1990-10-31,90.18824474799999,89.33591979299999
1990-09-30,89.774414492,88.694494208
1990-08-31,89.04699427899997,87.972049881
1990-07-31,87.902472512,86.89286593
1990-06-30,86.450169227,85.722109865
1990-05-31,85.087230405,84.539026961
1990-04-30,83.81620022199999,83.35778585
1990-03-31,82.380307125,82.079943964
1990-02-28,80.957733959,80.782697801
1990-01-31,79.828059943,79.666627994
1989-12-31,78.695842461,78.378521194
1989-11-30,77.46966429300001,76.968615955
1989-10-31,76.283508544,75.604654873
1989-09-30,75.20187524,74.334728928
1989-08-31,74.192273951,73.320160626
1989-07-31,72.96371928100001,72.08708847
1989-06-30,71.776516374,71.112885925
1989-05-31,70.739808808,70.180967643
1989-04-30,69.65376544,69.192966003
1989-03-31,68.547239082,68.28825023899999
1989-02-28,67.675584157,67.594043488
1989-01-31,67.237767749,67.126755862
1988-12-31,66.969114112,66.699077703
1988-11-30,66.71855715699999,66.287043509
1988-10-31,66.441405465,65.850137503
1988-09-30,66.113163238,65.350817945
1988-08-31,65.851462848,65.077393775
1988-07-31,65.63087142100001,64.842341929
1988-06-30,65.316093201,64.71219448
1988-05-31,64.98592755899999,64.472541767
1988-04-30,64.72828998600001,64.300075415
1988-03-31,64.489479165,64.245821597
1988-02-29,64.330364165,64.252854142
1988-01-31,64.288493543,64.182351059
1987-12-31,64.278128061,64.01894251899999
1987-11-30,64.28885349800001,63.87305426100001
1987-10-31,64.300360938,63.728146245
1987-09-30,64.202453665,63.46214075
1987-08-31,63.989493509,63.237311594
1987-07-31,63.886647628999995,63.119074356000006
1987-06-30,63.744266546000006,63.154900543000004
1987-05-31,63.482915858,62.98140394
1987-04-30,63.31734448899999,62.898464015
1987-03-31,63.079273286,62.84094382
1987-02-28,62.912034206,62.836232863
1987-01-31,62.87315533899999,62.769349717
1986-12-31,62.872880364,62.619361108
1986-11-30,62.928911712,62.52190833
1986-10-31,62.760899468999995,62.202384637
1986-09-30,62.689033208999994,61.966171281
1986-08-31,62.783770943,62.045761971000005
1986-07-31,62.755241136,62.001261261
1986-06-30,62.478045193,61.900386409
1986-05-31,62.102674599,61.612066428999995
1986-04-30,61.901861788999994,61.492345578999995
1986-03-31,61.692252522,61.459163527
1986-02-28,61.37563926,61.301689124
1986-01-31,61.163632196,61.0626491
1985-12-31,61.152808827,60.906225372
1985-11-30,61.202078431000004,60.806243599
1985-10-31,61.332741676000005,60.786936208
1985-09-30,61.36355209,60.655974421
1985-08-31,61.178304795,60.459167699
1985-07-31,60.892580726000006,60.160980087
1985-06-30,60.482094835,59.92289016300001
1985-05-31,60.130382868999995,59.65535567
1985-04-30,60.070578244,59.67317711800001
1985-03-31,60.046885885,59.820013428
1985-02-28,59.908558041000006,59.83637568
1985-01-31,59.764433955,59.665761053999994
1984-12-31,59.689918328999994,59.449233616
1984-11-30,59.722824865,59.336557353
1984-10-31,59.779001297,59.247022693999995
1984-09-30,59.747720376000004,59.058774628
1984-08-31,59.672312003,58.970877508
1984-07-31,59.614906597,58.898656628999994
1984-06-30,59.578784471999995,59.027931663000004
1984-05-31,59.555140398999995,59.084657598
1984-04-30,59.471324327,59.077887706000006
1984-03-31,59.321118135,59.096987882
1984-02-29,59.18206165300001,59.110754574
1984-01-31,59.042516875,58.945035647
1983-12-31,58.937322942,58.699672853
1983-11-30,58.930231175,58.549089918
1983-10-31,58.963213718,58.438494983999995
1983-09-30,59.004620971,58.32424384300001
1983-08-31,59.06704876,58.37272892399999
1983-07-31,59.023025228,58.313886498
1983-06-30,58.86292709600001,58.318692913
1983-05-31,58.709690888999994,58.245887175
1983-04-30,58.511520534,58.124433425
1983-03-31,58.313476903,58.093153718
1983-02-28,58.23498977,58.164823741999996
1983-01-31,58.226754501,58.13062016399999
1982-12-31,58.176060046,57.941479507
1982-11-30,58.018747145,57.643501066000006
1982-10-31,57.857668008999994,57.342787458000004
1982-09-30,57.752753438,57.086811431
1982-08-31,57.690523806,57.01238461
1982-07-31,57.873616503,57.178287448999995
1982-06-30,58.329654941,57.790351323
1982-05-31,58.671015513,58.207517263999996
1982-04-30,58.614738953999996,58.226969007
1982-03-31,58.334768319,58.114364688
1982-02-28,58.110640761999996,58.040624606
1982-01-31,58.02871497,57.93290751600001
1981-12-31,58.138963946000004,57.904533108
1981-11-30,58.386717141999995,58.009091033000004
1981-10-31,58.51111345899999,57.99041786
1981-09-30,58.382178874,57.70897902300001
1981-08-31,58.199661548,57.515537646999995
1981-07-31,58.01785940600001,57.320797336000005
1981-06-30,57.589046771999996,57.05659052399999
1981-05-31,56.954558102,56.504619786999996
1981-04-30,56.489544412,56.11583393300001
1981-03-31,56.250057807,56.037530773
1981-02-28,55.98659876600001,55.919141738
1981-01-31,55.57921687100001,55.487453838
1980-12-31,55.066549124,54.844506898
1980-11-30,54.967800251999996,54.612286562
1980-10-31,55.290678468,54.79864186
1980-09-30,55.428336598,54.789197106
1980-08-31,55.187862046000006,54.539141101999995
1980-07-31,54.666599068000004,54.009801062
1980-06-30,54.204486461,53.703323251
1980-05-31,53.992551844,53.566013253
1980-04-30,53.831069703000004,53.47494653800001
1980-03-31,53.443656401999995,53.24173265
1980-02-29,52.967275636000004,52.903456632
1980-01-31,52.612912861999995,52.526047183
1979-12-31,52.354567738,52.143460884
1979-11-30,52.081418013000004,51.744572576
1979-10-31,51.764180106000005,51.30352606
1979-09-30,51.31112965,50.719465361000005
1979-08-31,50.530207982,49.936236783999995
1979-07-31,49.735999357,49.138440646999996
1979-06-30,49.08648565,48.632642311000005
1979-05-31,48.27533855,47.893965623999996
1979-04-30,47.305715756000005,46.992761502
1979-03-31,46.364500538,46.189323632
1979-02-28,45.555445802,45.50055712899999
1979-01-31,44.938050957,44.863856665
1978-12-31,44.492924863999995,44.313518208999994
1978-11-30,44.114437435,43.829119755
1978-10-31,43.556855532,43.169239212
1978-09-30,42.841237756,42.347239148
1978-08-31,42.19260631,41.696641689
1978-07-31,41.577854355999996,41.078312581999995
1978-06-30,40.987642925,40.608679892
1978-05-31,40.320469846,40.001940058
1978-04-30,39.652322756,39.389999973
1978-03-31,39.191211265999996,39.043136914
1978-02-28,38.881658676,38.834811095
1978-01-31,38.58122483,38.517526006
1977-12-31,38.304171866,38.149719811
1977-11-30,38.081857666,37.835556784
1977-10-31,37.813312366999995,37.476808315999996
1977-09-30,37.590161253000005,37.156712384
1977-08-31,37.226945405,36.789351071999995
1977-07-31,36.687737273,36.246948382
1977-06-30,36.155744034,35.821455665
1977-05-31,35.48448355,35.204157830999996
1977-04-30,34.80236394,34.572126446
1977-03-31,34.132684744,34.003722765999996
1977-02-28,33.448258654,33.407957663000005
1977-01-31,32.903351629,32.849027103000005
1976-12-31,32.512502439,32.381403856
1976-11-30,32.146211976,31.938300879
1976-10-31,31.788352372,31.505465021
1976-09-30,31.521730463,31.158256113
1976-08-31,31.265672315,30.898151389000002
1976-07-31,30.983984463000002,30.611723922
1976-06-30,30.700327164,30.416478436
1976-05-31,30.497893669,30.256961765
1976-04-30,30.299203648000002,30.098757137
1976-03-31,29.998524284000002,29.885182229
1976-02-29,29.742625538000002,29.706789363000002
1976-01-31,29.560180914,29.51137607
1975-12-31,29.397706961999997,29.279167983
1975-11-30,29.319974264000006,29.130342338000002
1975-10-31,29.220024652,28.959993046999998
1975-09-30,29.006780389,28.672305729
1975-08-31,28.746207053000003,28.408301851999997
1975-07-31,28.521054132,28.178384711
1975-06-30,28.478541466,28.215234881999997
1975-05-31,28.459288564,28.234461545
1975-04-30,28.186801356,28.000329579000002
1975-03-31,27.813151279,27.708066119
1975-02-28,27.643545106999998,27.610238089
1975-01-31,27.712674898000003,27.666920383
